trial_id,scan_ms,connect_ms,request_write_ms,server_process_ms,decrypt_ms,state_init_ms,kex_total_ms,t_request_sent_ns,t_key_available_ns,t_key_decrypted_ns,t_state_initialized_ns,success,failure_stage,failure_reason
I_0076,88.87,3913.633,397.397,90.65,0.294,0.044,488.399,34058421777833,34058512428032,34058512730464,34058512779895,True,,
I_0077,146.227,4800.278,757.973,91.2,0.287,0.039,849.511,34067736587971,34067827787777,34067828083422,34067828126283,True,,
I_0078,554.331,2544.992,625.045,91.109,0.205,0.016,716.384,34074756698580,34074847808021,34074848019725,34074848037857,True,,
I_0079,301.486,2620.928,353.139,90.645,0.19,0.015,443.997,34081281933894,34081372578820,34081372774847,34081372792012,True,,
I_0080,611.791,3435.858,307.65,88.119,0.3,0.04,396.121,34089382628308,34089470747532,34089471055625,34089471099773,True,,
I_0081,668.797,4636.928,308.037,91.22,0.313,0.049,399.63,34098651486533,34098742706361,34098743026620,34098743080110,True,,
I_0082,1748.569,2658.585,307.038,91.174,0.241,0.018,398.482,34106751484238,34106842657766,34106842907780,34106842928869,True,,
I_0083,1794.317,5401.147,308.576,91.136,0.27,0.037,400.03,34117551464502,34117642600485,34117642877280,34117642918742,True,,
I_0084,901.15,2606.495,351.443,91.921,0.202,0.02,443.598,34124886375899,34124978297352,34124978507750,34124978530438,True,,
I_0085,555.902,2004.227,353.482,91.183,0.21,0.03,444.915,34130961493926,34131052676973,34131052893540,34131052926666,True,,
I_0086,726.144,2644.807,307.784,91.416,0.192,0.017,399.417,34137711326433,34137802742498,34137802941133,34137802959998,True,,
I_0087,1080.398,4675.149,401.574,89.054,0.273,0.036,490.948,34147164347009,34147253401170,34147253681038,34147253720772,True,,
I_0088,1122.075,5399.365,308.67,91.113,0.204,0.017,400.013,34157872396859,34157963510189,34157963720645,34157963739841,True,,
I_0089,1947.772,2638.286,354.486,90.923,0.199,0.016,445.632,34165971806648,34166062730020,34166062934730,34166062952760,True,,
I_0090,1268.46,2641.288,310.034,90.159,0.306,0.051,400.564,34173262241726,34173352400381,34173352714569,34173352771364,True,,
I_0091,80.254,3963.934,310.222,90.68,0.206,0.017,401.134,34181361783467,34181452463044,34181452675299,34181452695596,True,,
I_0092,1420.251,2759.851,308.849,92.081,0.273,0.019,401.237,34189506332153,34189598412975,34189598695900,34189598720190,True,,
I_0093,1481.968,2652.765,309.781,90.307,0.281,0.048,400.43,34197472395389,34197562702665,34197562991804,34197563044393,True,,
I_0094,246.515,3933.87,353.703,92.294,0.342,0.043,446.398,34205571420706,34205663715007,34205664066729,34205664115473,True,,
I_0095,300.205,2620.439,308.264,92.4,0.236,0.022,400.933,34212276318252,34212368718037,34212368961691,34212368987579,True,,
I_0096,658.779,2620.337,309.943,92.369,0.19,0.017,402.527,34219611384330,34219703752975,34219703949415,34219703968525,True,,
I_0097,430.126,3929.929,355.024,91.245,0.19,0.017,446.486,34227757321180,34227848565746,34227848764593,34227848783989,True,,
I_0098,514.425,3934.978,264.661,91.04,0.236,0.019,355.966,34235721287249,34235812327391,34235812570814,34235812592487,True,,
I_0099,545.361,1924.149,354.675,89.746,0.272,0.033,444.737,34241842662185,34241932407737,34241932687376,34241932724286,True,,
I_0100,555.292,6684.529,310.171,90.153,0.191,0.016,400.54,34252597294215,34252687447458,34252687644800,34252687663305,True,,
I_0101,970.764,3434.647,308.685,91.148,0.289,0.018,400.154,34260741305973,34260832454026,34260832751803,34260832774741,True,,
I_0102,1021.966,4643.405,353.093,91.379,0.292,0.044,444.82,34270056359186,34270147737992,34270148037997,34270148086579,True,,
I_0103,552.096,2143.141,355.692,90.109,0.29,0.036,446.14,34276087266154,34276177374837,34276177673336,34276177713703,True,,
I_0104,555.099,4255.751,353.153,91.948,0.202,0.018,445.33,34284186381103,34284278329535,34284278537488,34284278558079,True,,
I_0105,1962.187,4649.484,307.159,91.085,0.279,0.036,398.57,34294941328163,34295032413092,34295032699123,34295032739271,True,,
I_0106,37.033,2614.715,352.528,90.88,0.202,0.017,443.637,34301016549939,34301107429645,34301107639367,34301107659646,True,,
I_0107,58.278,2636.978,308.899,91.08,0.266,0.043,400.299,34307046615034,34307137695079,34307137968344,34307138014946,True,,
I_0108,117.077,3973.602,353.49,91.12,0.197,0.018,444.834,34314471457654,34314562577601,34314562780763,34314562801918,True,,
I_0109,168.983,2660.465,310.365,135.023,0.217,0.017,445.632,34321177349769,34321312373261,34321312596772,34321312616863,True,,
I_0110,555.602,3353.502,309.99,91.124,0.298,0.038,401.463,34329231278179,34329322401722,34329322708405,34329322751099,True,,
I_0111,614.56,5364.291,400.539,90.161,0.195,0.019,490.922,34339402236906,34339492397919,34339492598733,34339492620217,True,,
I_0112,706.249,2619.759,308.251,90.892,0.214,0.019,399.385,34346646467696,34346737359903,34346737580846,34346737602536,True,,
I_0113,467.441,3892.686,308.096,91.003,0.215,0.018,399.34,34354701426948,34354792429523,34354792650739,34354792671737,True,,
I_0114,520.247,7980.309,353.755,90.125,0.264,0.033,444.188,34366897396856,34366987522092,34366987793188,34366987829681,True,,
I_0115,549.558,2010.038,353.612,91.084,0.371,0.037,445.117,34372926258060,34373017342254,34373017720378,34373017762910,True,,
I_0116,605.644,6005.254,307.644,91.98,0.193,0.016,399.843,34382960741967,34383052721769,34383052921886,34383052940601,True,,
I_0117,548.114,2102.638,353.874,90.819,0.354,0.017,445.077,34389036638704,34389127457862,34389127819697,34389127841692,True,,
I_0118,558.397,6186.04,310.811,90.816,0.374,0.048,402.063,34399072495485,34399163311374,34399163694393,34399163747683,True,,
I_0119,553.656,2996.612,354.18,90.952,0.194,0.016,445.35,34405911748672,34406002700963,34406002901358,34406002919457,True,,
I_0120,3968.061,4621.503,310.589,89.769,0.297,0.06,400.729,34417927669327,34418017438081,34418017741616,34418017809235,True,,
I_0121,1294.852,2613.992,309.78,91.079,0.278,0.066,401.214,34425261364165,34425352443172,34425352728605,34425352798289,True,,
I_0122,127.248,3965.064,307.048,91.35,0.281,0.016,398.706,34433406585099,34433497934826,34433498223390,34433498243489,True,,
I_0123,168.504,3921.83,399.771,90.475,0.212,0.015,490.482,34441507385220,34441597860319,34441598078976,34441598096695,True,,
I_0124,222.344,2608.423,444.348,90.252,0.301,0.037,534.95,34448302524631,34448392776659,34448393084939,34448393127044,True,,
I_0125,570.212,5412.223,352.41,90.152,0.276,0.042,442.893,34458382330553,34458472482986,34458472766959,34458472813400,True,,
I_0126,2673.471,4659.34,395.619,135.882,0.195,0.016,531.721,34469766780642,34469902662967,34469902863912,34469902882106,True,,
I_0127,1775.505,4702.038,396.752,91.084,0.269,0.044,488.16,34479891603988,34479982687932,34479982964348,34479983012223,True,,
I_0128,552.377,1919.42,441.204,91.196,0.262,0.036,532.707,34485921482990,34486012678617,34486012947239,34486012986559,True,,
I_0129,546.162,3951.366,801.724,90.879,0.275,0.036,892.926,34494337878130,34494428757508,34494429040153,34494429079791,True,,
I_0130,1680.1,4662.287,353.115,89.901,0.266,0.032,443.325,34504732763307,34504822664053,34504822937439,34504822973409,True,,
I_0131,1051.312,3356.17,307.813,90.302,0.368,0.047,398.546,34512742497591,34512832799613,34512833175236,34512833230464,True,,
I_0132,1090.34,2641.84,396.849,90.99,0.274,0.035,488.159,34520166583345,34520257572967,34520257854132,34520257892880,True,,
I_0133,1883.357,2612.417,309.115,91.311,0.188,0.017,400.64,34528852250176,34528943561088,34528943756013,34528943775292,True,,
I_0134,1241.484,2626.24,305.983,89.797,0.284,0.033,396.108,34536186491908,34536276289239,34536276579526,34536276617411,True,,
I_0135,2047.33,3886.621,310.547,88.718,0.195,0.016,399.484,34546267592355,34546356309989,34546356511820,34546356529612,True,,
I_0136,96.846,2646.007,351.876,90.12,0.226,0.022,442.255,34553107681985,34553197802073,34553198035390,34553198060380,True,,
I_0137,3417.707,4635.682,306.291,89.864,0.227,0.019,396.413,34564402597183,34564492461660,34564492696468,34564492719122,True,,
I_0138,247.248,2629.141,396.863,91.077,0.293,0.036,488.283,34571286545025,34571377621772,34571377923511,34571377964684,True,,
I_0139,1289.829,2621.677,396.852,91.109,0.283,0.044,488.301,34579341570624,34579432679945,34579432972044,34579433020444,True,,
I_0140,612.662,3344.344,443.482,89.911,0.301,0.038,533.745,34587442808812,34587532719988,34587533028524,34587533071667,True,,
I_0141,713.817,2613.31,397.284,90.013,0.326,0.015,487.65,34594732608112,34594822621079,34594822954580,34594822974361,True,,
I_0142,471.764,5914.304,397.59,90.187,0.279,0.034,488.101,34604812446359,34604902633379,34604902919148,34604902957791,True,,
I_0143,545.492,4672.507,488.341,89.334,0.316,0.027,578.028,34613723535343,34613812868949,34613813191389,34613813222635,True,,
I_0144,920.778,2631.543,622.621,90.199,0.208,0.015,713.052,34621192738123,34621282936652,34621283151444,34621283169451,True,,
I_0145,966.881,10685.078,353.035,90.03,0.201,0.016,443.291,34637032695170,34637122725628,34637122933387,34637122951149,True,,
I_0146,580.991,2114.306,355.129,89.422,0.33,0.035,444.931,34643063428761,34643152851178,34643153191001,34643153231364,True,,
I_0147,842.843,4644.805,307.529,89.331,0.364,0.035,397.274,34651837419704,34651926750901,34651927121862,34651927164998,True,,
I_0148,1189.639,2632.04,308.702,88.812,0.198,0.015,397.735,34659172638621,34659261450266,34659261654506,34659261672147,True,,
I_0149,1288.573,4648.515,352.198,90.208,0.277,0.046,442.741,34669297493388,34669387700909,34669387986794,34669388036730,True,,
I_0150,45.72,2650.796,353.048,90.187,0.307,0.014,443.665,34676092665971,34676182853085,34676183266280,34676183283215,True,,
I_0151,105.368,3895.923,353.043,90.082,0.297,0.038,443.473,34683382675202,34683472757607,34683473062232,34683473104840,True,,
I_0152,1466.567,4649.994,352.593,89.885,0.22,0.017,442.729,34693507517238,34693597402624,34693597632191,34693597653110,True,,
I_0153,252.302,2623.027,353.946,90.286,0.243,0.017,444.509,34700257566363,34700347851971,34700348108829,34700348128549,True,,
I_0154,570.052,5410.304,308.691,90.1,0.273,0.035,399.113,34710337443668,34710427543382,34710427823423,34710427866415,True,,
I_0155,1389.625,2655.91,308.806,89.907,0.207,0.016,398.945,34718392620300,34718482527181,34718482740755,34718482758952,True,,
I_0156,1443.855,2647.322,308.986,90.044,0.276,0.039,399.357,34726447481194,34726537524962,34726537807799,34726537851977,True,,
I_0157,890.271,2525.667,309.521,89.91,0.194,0.016,399.649,34733737725435,34733827634960,34733827835117,34733827853708,True,,
I_0158,551.141,7994.976,309.057,89.979,0.284,0.035,399.369,34745887445692,34745977425070,34745977718128,34745977757307,True,,
I_0159,560.299,2002.627,352.232,90.14,0.194,0.015,442.591,34751962542977,34752052682942,34752052883801,34752052901515,True,,
I_0160,558.25,4793.956,307.65,89.715,0.199,0.015,397.588,34760692808444,34760782523149,34760782728351,34760782745855,True,,
I_0161,1794.307,2656.984,262.903,89.013,0.268,0.034,352.229,34768747464949,34768836478425,34768836753351,34768836790950,True,,
I_0162,1116.736,7384.54,353.226,90.407,0.287,0.035,443.966,34780897545829,34780987953300,34780988247544,34780988286172,True,,
I_0163,1249.398,2713.159,302.498,90.347,0.312,0.016,393.184,34788277309865,34788367657338,34788367976240,34788367996843,True,,
I_0164,1304.163,2609.239,306.77,90.202,0.301,0.035,397.321,34796242432148,34796332634610,34796332943219,34796332982651,True,,
I_0165,74.135,2620.203,355.656,89.216,0.2,0.017,445.098,34803083295621,34803172511780,34803172718459,34803172737672,True,,
I_0166,2150.704,4641.848,397.478,89.987,0.286,0.035,487.802,34813207359358,34813297346800,34813297639757,34813297683230,True,,
I_0167,549.163,6602.131,309.67,89.114,0.21,0.02,399.025,34824503224420,34824592338586,34824592556233,34824592578954,True,,
I_0168,301.579,4013.023,308.135,92.758,0.325,0.029,401.26,34832645981918,34832738739702,34832739074092,34832739106948,True,,
I_0169,358.778,4633.743,308.125,90.033,0.216,0.018,398.403,34841332391232,34841422424719,34841422647129,34841422668605,True,,
I_0170,2718.761,3397.041,308.938,90.191,0.285,0.034,399.458,34851457598863,34851547789600,34851548081356,34851548119359,True,,
I_0171,2845.173,3315.507,354.423,90.368,0.199,0.017,445.015,34861537870822,34861628239225,34861628444211,34861628463430,True,,
I_0172,4911.485,5388.765,310.851,89.129,0.204,0.018,400.211,34875623345929,34875712474713,34875712684775,34875712705325,True,,
I_0173,1820.522,8705.862,308.931,90.22,0.197,0.016,399.373,34889842523419,34889932743388,34889932946995,34889932964994,True,,
I_0174,1075.068,7380.968,308.954,90.243,0.283,0.027,399.521,34901812243140,34901902486090,34901902778648,34901902810032,True,,
I_0175,1937.276,2602.444,354.304,89.955,0.208,0.018,444.495,34909912408741,34910002363914,34910002578201,34910002599560,True,,
I_0176,1985.626,3905.709,307.537,90.481,0.191,0.024,398.243,34919227304121,34919317785240,34919317983519,34919318010366,True,,
I_0177,51.585,6693.806,263.716,91.343,0.282,0.035,355.387,34930027311100,34930118653611,34930118943787,34930118982950,True,,
I_0178,141.99,2644.403,352.826,91.39,0.28,0.02,444.532,34936147446160,34936238835702,34936239126836,34936239151424,True,,
I_0179,162.746,5951.851,308.984,90.483,0.387,0.034,399.901,34945462326875,34945552810161,34945553205478,34945553244129,True,,
I_0180,250.853,2625.755,353.409,91.55,0.196,0.015,445.178,34952257493097,34952349042748,34952349244619,34952349262232,True,,
I_0181,2586.333,4655.064,353.724,135.213,0.329,0.027,489.305,34963642438528,34963777651359,34963777987821,34963778019348,True,,
I_0182,404.347,4003.883,351.775,91.425,0.242,0.017,443.467,34971787351667,34971878776276,34971879023944,34971879043111,True,,
I_0183,455.426,2646.107,352.924,90.351,0.295,0.021,443.607,34978492540711,34978582891757,34978583199112,34978583224631,True,,
I_0184,810.962,9400.5,398.856,90.422,0.21,0.017,489.514,34992623474657,34992713896926,34992714113341,34992714132867,True,,
I_0185,923.945,7399.513,306.855,89.027,0.197,0.017,396.105,35004637605686,35004726632908,35004726836061,35004726855246,True,,
I_0186,1007.758,2678.785,308.312,90.619,0.283,0.017,399.243,35012018225489,35012108844541,35012109134881,35012109156794,True,,
I_0187,558.299,2091.778,443.875,91.053,0.275,0.035,535.251,35018137370947,35018228424083,35018228707879,35018228747709,True,,
I_0188,835.046,4649.184,354.724,90.176,0.199,0.017,445.126,35026867356124,35026957532280,35026957738612,35026957758457,True,,
I_0189,1182.105,2683.456,353.74,89.835,0.273,0.035,443.893,35034247596153,35034337431203,35034337710908,35034337749870,True,,
I_0190,1276.282,3356.025,306.971,91.355,0.197,0.015,398.548,35042977552960,35043068908356,35043069112131,35043069129556,True,,
I_0191,1291.987,3427.671,307.805,92.26,0.283,0.036,400.395,35051076376989,35051168636935,35051168926554,35051168967075,True,,
I_0192,1383.88,2662.458,353.946,89.879,0.282,0.038,444.157,35058413500234,35058503379390,35058503668694,35058503710689,True,,
I_0193,155.977,4655.535,306.935,92.037,0.202,0.016,399.198,35067142816353,35067234853534,35067235061491,35067235079419,True,,
I_0194,212.008,2619.493,398.058,91.035,0.283,0.037,489.428,35073262474024,35073353508870,35073353799324,35073353843943,True,,
I_0195,1302.646,6703.262,353.86,91.048,0.314,0.043,445.279,35085367489843,35085458537803,35085458860325,35085458908638,True,,
I_0196,1380.766,2622.049,396.852,91.005,0.265,0.035,488.167,35093422642105,35093513647271,35093513918757,35093513957400,True,,
I_0197,2717.394,6683.75,308.205,90.817,0.276,0.033,399.342,35106742631939,35106833449139,35106833732012,35106833768806,True,,
I_0198,1810.521,2640.51,307.924,89.46,0.214,0.017,397.623,35114797357111,35114886817017,35114887037334,35114887056693,True,,
I_0199,551.019,1919.354,353.639,91.307,0.309,0.019,445.289,35120872476606,35120963783751,35120964100627,35120964126308,True,,
I_0200,645.918,3894.91,353.449,92.065,0.191,0.016,445.73,35128927598497,35129019663477,35129019860324,35129019878725,True,,
I_0201,1982.807,2648.498,352.611,91.199,0.204,0.016,444.039,35137027506572,35137118705313,35137118915986,35137118934421,True,,
I_0202,553.683,2187.816,307.721,90.853,0.307,0.039,398.934,35143057614319,35143148466824,35143148781976,35143148827223,True,,
I_0203,552.823,2189.6,306.726,90.838,0.195,0.016,397.782,35149087916365,35149178753938,35149178955086,35149178972562,True,,
I_0204,570.207,2215.925,353.136,91.139,0.196,0.016,444.495,35155162523738,35155253662575,35155253864523,35155253883146,True,,
I_0205,1188.812,4657.556,352.784,136.166,0.189,0.017,489.165,35165242619083,35165378785437,35165378980869,35165378999866,True,,
I_0206,1278.761,2632.62,397.918,90.869,0.267,0.037,489.105,35173342630079,35173433499308,35173433774343,35173433816838,True,,
I_0207,2066.03,3915.283,398.893,91.323,0.187,0.017,490.427,35183422496217,35183513818926,35183514011587,35183514030844,True,,
I_0208,1416.06,3351.139,352.811,91.575,0.204,0.017,444.615,35192197273376,35192288848608,35192289058132,35192289077234,True,,
I_0209,559.752,2586.778,353.683,137.132,0.188,0.016,491.027,35199532458158,35199669589818,35199669784282,35199669802219,True,,
I_0210,1583.522,2598.039,397.814,91.011,0.273,0.033,489.141,35207587513360,35207678524084,35207678804426,35207678840666,True,,
I_0211,1630.689,7411.3,442.198,91.118,0.187,0.019,533.531,35220502652187,35220593769799,35220593963429,35220593985028,True,,
