trial_id,esp_ack_received,esp_cc_send_ms,esp_ble_write_ms,esp_rtt_ms,rpi_rx_ack_ms,delta_esp_rtt_minus_rpi_ack_ms
193,1,8.652,1.621,145.017,35.92,109.097
194,1,8.637,1.622,145.019,36.74,108.279
195,1,8.633,1.627,145.02,36.56,108.46000000000001
196,1,8.654,1.622,145.154,36.04,109.114
197,1,8.642,1.621,145.027,35.08,109.94699999999999
198,1,8.658,1.621,145.029,36.22,108.809
199,1,8.653,1.62,146.03,41.09,104.94
200,1,8.651,1.622,144.017,34.7,109.317
201,1,8.644,1.615,145.019,40.16,104.85900000000001
202,1,8.645,1.622,146.025,35.05,110.97500000000001
203,1,8.636,1.619,145.022,34.8,110.222
204,1,8.656,1.617,145.156,35.13,110.02600000000001
205,1,8.642,1.615,145.03,37.54,107.49000000000001
206,1,70.629,1.621,195.019,40.7,154.31900000000002
207,1,8.636,1.617,92.003,33.4,58.603
208,1,8.645,1.484,157.151,36.46,120.691
209,1,8.636,1.622,145.027,41.37,103.65699999999998
210,1,8.657,1.612,144.019,36.25,107.769
211,1,8.643,1.616,145.031,35.36,109.671
212,1,8.687,1.614,145.025,38.21,106.815
213,1,8.652,1.615,145.025,38.54,106.48500000000001
214,1,8.643,1.614,145.019,34.47,110.549
215,1,8.635,1.619,145.02,40.8,104.22000000000001
216,1,8.654,1.615,145.155,38.83,106.325
217,1,8.642,1.615,145.03,37.03,108.0
218,1,8.657,1.614,145.028,34.84,110.18799999999999
219,1,8.653,1.617,145.031,37.39,107.641
220,1,8.652,1.615,145.017,36.49,108.52699999999999
221,1,8.637,1.616,145.018,42.76,102.25800000000001
222,1,8.915,1.618,93.005,33.52,59.48499999999999
223,1,8.635,1.487,157.021,36.78,120.24099999999999
224,1,8.656,1.617,144.151,36.31,107.84100000000001
225,1,8.642,1.617,195.03,35.74,159.29
226,1,70.64,1.621,195.019,47.0,148.019
227,1,8.631,1.62,145.018,41.48,103.53800000000001
228,1,8.645,1.618,146.151,35.49,110.661
229,1,8.636,1.614,145.027,34.35,110.67699999999999
230,1,8.656,1.618,145.023,34.11,110.913
231,1,8.661,1.616,144.031,34.73,109.30100000000002
232,1,8.686,1.618,146.025,34.6,111.42500000000001
233,1,8.652,1.611,144.01,41.19,102.82
234,1,8.637,1.619,146.018,34.93,111.088
235,1,8.635,1.617,145.02,36.59,108.43
236,1,8.654,1.62,144.154,40.51,103.644
237,1,8.642,1.617,146.03,39.88,106.15
238,1,8.658,1.615,144.028,36.03,107.99799999999999
239,1,8.653,1.619,146.03,36.64,109.39
240,1,8.652,1.615,144.019,37.76,106.25900000000001
241,1,8.637,1.621,146.018,36.03,109.988
242,1,8.638,1.615,144.024,34.12,109.904
243,1,8.636,1.617,146.021,34.56,111.46099999999998
244,1,8.655,1.614,144.155,35.36,108.795
245,1,8.642,1.617,146.031,35.15,110.881
246,1,70.63,1.621,195.018,34.31,160.708
247,1,8.665,1.612,144.018,37.95,106.068
248,1,8.645,1.622,145.151,37.36,107.79100000000001
249,1,8.636,1.619,146.027,33.36,112.66699999999999
250,1,8.656,1.62,145.024,41.27,103.75399999999999
251,1,8.661,1.616,145.031,33.68,111.351
252,1,8.678,1.617,145.028,36.0,109.02799999999999
253,1,8.652,1.621,145.029,63.56,81.469
254,1,8.637,1.625,145.019,58.67,86.349
255,1,8.634,1.621,145.02,58.92,86.10000000000001
256,1,8.655,1.619,145.155,58.16,86.995
257,1,8.642,1.618,145.027,60.94,84.08699999999999
258,1,8.658,1.621,145.028,57.57,87.458
259,1,8.653,1.62,145.031,67.06,77.971
260,1,8.651,1.622,145.019,58.53,86.489
261,1,8.71,1.619,595.02,512.73,82.28999999999996
262,1,8.644,1.625,145.025,60.33,84.69500000000001
263,1,8.636,1.621,145.025,59.52,85.505
264,1,8.656,1.619,195.153,59.98,135.173
265,1,8.638,1.617,145.03,67.49,77.54
266,1,70.629,1.62,195.018,64.1,130.918
267,1,8.637,1.616,145.018,63.6,81.418
268,1,8.645,1.616,145.152,62.21,82.94199999999998
269,1,8.636,1.614,145.029,62.14,82.889
270,1,8.656,1.617,195.024,119.13,75.894
271,1,8.653,1.614,295.031,217.17,77.86100000000002
272,1,8.69,1.618,295.029,209.84,85.189
273,1,8.652,1.621,295.028,209.98,85.04800000000003
274,1,8.637,1.62,295.018,191.33,103.68799999999996
275,1,8.638,1.615,145.02,38.62,106.4
276,1,8.816,1.623,145.155,36.16,108.995
277,1,8.637,1.616,145.029,38.86,106.169
278,1,8.657,1.622,142.076,34.49,107.58599999999998
279,1,7.641,1.548,149.036,36.32,112.71600000000001
280,1,8.691,1.623,144.02,37.49,106.53
281,1,8.64,1.628,145.015,35.62,109.39499999999998
282,1,8.645,1.62,146.03,36.44,109.59
283,1,8.646,1.627,144.019,34.99,109.029
284,1,8.649,1.625,145.157,34.0,111.15700000000001
285,1,8.644,1.63,145.029,34.92,110.109
286,1,70.631,1.625,195.024,36.94,158.084
287,1,8.671,1.624,145.016,35.63,109.386
288,1,8.643,1.623,145.158,34.35,110.80799999999999
289,1,8.647,1.631,145.025,33.75,111.275
290,1,8.65,1.617,145.03,36.8,108.23
291,1,8.644,1.624,145.029,33.87,111.15899999999999
292,1,8.688,1.615,145.034,35.36,109.67399999999999
293,1,8.652,1.624,195.028,36.42,158.608
294,1,8.642,1.617,145.029,37.82,107.209
295,1,8.642,1.622,145.018,36.02,108.99799999999999
296,1,8.642,1.619,145.161,37.67,107.491
297,1,8.646,1.622,145.025,35.66,109.36500000000001
298,1,8.651,1.618,145.033,34.23,110.803
299,1,8.65,1.622,145.029,34.7,110.329
300,1,8.658,1.619,145.023,35.61,109.413
301,1,8.649,1.623,145.018,34.45,110.568
302,1,8.647,1.616,145.033,35.04,109.993
303,1,8.648,1.622,195.027,34.11,160.91699999999997
304,1,8.645,1.618,145.159,37.54,107.619
305,1,8.646,1.625,145.031,36.68,108.351
306,1,51.649,1.622,195.026,38.05,156.976
307,1,8.641,1.62,145.018,37.95,107.068
308,1,8.642,1.619,145.16,37.66,107.5
309,1,8.649,1.623,145.025,34.97,110.055
310,1,8.652,1.619,145.027,35.64,109.38699999999999
311,1,8.66,1.617,145.03,36.55,108.48
312,1,8.682,1.617,145.036,36.76,108.27600000000001
313,1,8.654,1.621,145.03,34.12,110.91
314,1,8.645,1.622,145.032,34.99,110.042
315,1,8.644,1.617,145.02,34.29,110.73000000000002
316,1,8.643,1.617,145.164,36.34,108.82399999999998
317,1,8.646,1.619,145.027,38.98,106.047
318,1,8.653,1.618,145.037,33.17,111.867
319,1,8.648,1.624,145.03,36.96,108.07
320,1,8.693,1.623,145.023,35.97,109.053
321,1,8.643,1.624,145.02,37.11,107.91000000000001
322,1,8.647,1.619,145.031,37.7,107.331
323,1,8.648,1.617,145.025,35.59,109.435
324,1,8.651,1.617,145.164,36.16,109.00399999999999
325,1,8.646,1.617,146.021,35.17,110.85099999999998
326,1,53.626,1.62,194.026,34.7,159.32600000000002
327,1,8.645,1.625,145.018,39.03,105.988
328,1,8.643,1.617,145.16,34.05,111.11
329,1,8.649,1.621,145.027,34.65,110.37699999999998
330,1,8.652,1.618,146.032,34.26,111.77200000000002
331,1,8.647,1.618,144.03,35.79,108.24000000000001
332,1,8.682,1.616,145.036,34.71,110.326
333,1,8.66,1.618,145.018,35.93,109.088
334,1,8.645,1.613,145.031,37.14,107.891
335,1,8.644,1.617,146.02,39.14,106.88000000000001
336,1,8.644,1.609,144.163,38.82,105.34300000000002
337,1,8.65,1.624,145.027,39.8,105.22699999999999
338,1,8.653,1.617,145.032,35.32,109.71200000000002
339,1,8.648,1.62,146.031,34.82,111.21100000000001
340,1,8.66,1.613,144.027,34.81,109.21699999999998
341,1,8.643,1.62,146.026,34.33,111.69600000000001
342,1,8.647,1.61,144.032,34.72,109.31200000000001
343,1,8.647,1.625,146.022,33.77,112.25199999999998
344,1,8.645,1.615,144.159,36.11,108.04899999999999
345,1,8.645,1.623,146.03,34.48,111.55000000000001
346,1,70.637,1.617,194.027,35.84,158.18699999999998
347,1,8.645,1.618,146.018,38.94,107.078
348,1,8.642,1.615,144.16,33.2,110.96
349,1,8.649,1.619,145.025,39.49,105.535
350,1,8.652,1.618,146.032,33.7,112.33200000000001
351,1,8.666,1.615,144.029,39.5,104.529
352,1,8.694,1.623,145.037,34.77,110.267
353,1,8.66,1.617,146.028,35.97,110.05799999999999
354,1,8.675,1.614,144.027,34.96,109.06699999999998
355,1,8.644,1.619,146.02,37.03,108.99000000000001
356,1,8.644,1.612,144.161,34.94,109.221
357,1,8.648,1.62,146.029,39.27,106.75899999999999
358,1,8.652,1.622,145.032,33.98,111.05200000000002
359,1,8.647,1.622,145.029,34.3,110.729
360,1,8.68,1.621,145.026,34.33,110.69600000000001
361,1,8.642,1.617,145.019,35.16,109.85900000000001
362,1,8.647,1.621,145.031,37.74,107.291
363,1,8.646,1.62,92.006,33.18,58.826
364,1,8.644,1.488,158.162,43.61,114.552
365,1,8.645,1.61,144.026,33.72,110.30600000000001
366,1,70.638,1.619,195.026,37.8,157.226
367,1,8.673,1.612,195.017,40.49,154.527
368,1,8.642,1.62,145.159,35.16,109.999
369,1,8.648,1.614,195.026,35.65,159.376
370,1,8.651,1.621,145.03,34.66,110.37
371,1,8.646,1.612,145.03,34.84,110.19
372,1,8.681,1.62,145.035,34.55,110.485
373,1,8.654,1.614,145.026,34.78,110.24600000000001
374,1,8.644,1.621,145.026,34.25,110.77600000000001
375,1,8.644,1.614,145.019,34.42,110.599
376,1,8.643,1.619,145.162,38.05,107.11200000000001
377,1,8.648,1.612,145.026,39.31,105.71600000000001
378,1,8.652,1.617,145.036,37.02,108.01599999999999
379,1,8.647,1.613,144.013,36.12,107.893
380,1,8.659,1.479,207.026,90.79,116.236
381,1,8.641,1.619,145.019,35.49,109.529
382,1,8.646,1.618,145.032,35.32,109.71200000000002
383,1,8.647,1.617,145.02,34.8,110.22000000000001
384,1,8.651,1.617,145.162,35.37,109.792
385,1,8.645,1.617,145.029,36.41,108.619
386,1,70.636,1.618,195.026,35.99,159.036
387,1,8.64,1.616,145.017,34.2,110.817
388,1,8.645,1.614,145.158,37.33,107.82799999999999
389,1,8.648,1.62,145.026,37.66,107.36600000000001
390,1,8.651,1.615,195.031,41.44,153.591
391,1,8.659,1.617,145.029,33.08,111.949
392,1,8.689,1.613,145.036,36.74,108.29599999999999
393,1,8.659,1.617,145.028,35.73,109.298
394,1,8.644,1.615,92.015,33.55,58.465
395,1,8.644,1.481,157.019,35.96,121.059
396,1,8.643,1.621,145.162,35.95,109.212
397,1,8.645,1.617,145.026,35.46,109.566
398,1,8.652,1.62,145.032,35.69,109.34200000000001
399,1,8.647,1.621,145.03,36.55,108.48
400,1,8.687,1.617,145.024,39.18,105.844
401,1,8.649,1.615,145.025,34.26,110.76500000000001
402,1,8.646,1.62,145.031,34.84,110.191
403,1,8.647,1.621,145.02,36.77,108.25
404,1,8.644,1.618,145.163,34.19,110.97300000000001
405,1,8.645,1.619,195.03,35.0,160.03
406,1,70.625,1.63,195.026,34.76,160.26600000000002
407,1,8.64,1.618,145.017,37.09,107.92699999999999
408,1,8.642,1.628,145.159,37.08,108.079
409,1,8.648,1.614,145.025,37.08,107.94500000000001
410,1,8.651,1.627,145.031,37.64,107.391
411,1,8.646,1.616,145.029,35.14,109.889
412,1,8.681,1.621,195.032,35.38,159.65200000000002
413,1,8.659,1.613,145.024,34.71,110.314
414,1,8.644,1.622,145.026,35.57,109.45600000000002
415,1,8.643,1.615,195.019,34.59,160.429
416,1,8.642,1.623,145.162,41.45,103.712
417,1,8.644,1.618,145.028,33.9,111.12799999999999
418,1,8.652,1.622,146.032,34.15,111.882
419,1,8.647,1.615,194.03,34.67,159.36
420,1,8.659,1.614,146.024,33.88,112.144
421,1,8.641,1.617,144.019,37.56,106.459
422,1,8.646,1.616,195.031,39.19,155.841
423,1,8.647,1.617,145.019,34.17,110.849
424,1,8.65,1.626,145.158,35.45,109.70799999999998
425,1,8.645,1.617,145.03,40.24,104.78999999999999
426,1,70.625,1.623,195.026,35.35,159.67600000000002
427,1,8.644,1.618,145.017,34.94,110.077
428,1,8.642,1.62,145.161,34.7,110.461
429,1,8.648,1.618,195.024,34.11,160.914
430,1,8.651,1.621,145.031,37.15,107.881
431,1,8.659,1.615,145.03,34.37,110.66
432,1,8.689,1.617,146.036,36.28,109.756
433,1,8.653,1.615,145.029,34.97,110.059
434,1,8.644,1.621,145.03,54.56,90.47
435,1,8.643,1.615,144.019,61.8,82.21900000000001
436,1,8.643,1.625,145.16,59.67,85.49
437,1,8.648,1.625,145.027,57.92,87.10699999999999
438,1,8.652,1.624,145.032,60.84,84.19200000000001
439,1,8.651,1.623,145.03,58.67,86.36
440,1,8.679,1.618,145.024,61.59,83.434
441,1,8.642,1.616,145.017,59.2,85.817
442,1,8.641,1.619,146.03,58.41,87.62
443,1,8.647,1.613,144.024,61.42,82.604
444,1,8.644,1.618,145.159,63.19,81.969
445,1,8.645,1.613,145.029,61.15,83.87899999999999
446,1,70.631,1.619,196.026,57.81,138.216
447,1,8.643,1.615,144.017,59.14,84.877
448,1,8.645,1.62,145.162,60.42,84.742
449,1,8.648,1.618,145.026,55.91,89.11600000000001
450,1,8.885,1.624,145.031,57.38,87.65100000000001
451,1,8.651,1.621,146.016,62.52,83.49599999999998
452,1,8.693,1.613,144.035,59.05,84.985
453,1,8.659,1.618,146.026,58.53,87.49600000000001
454,1,8.644,1.616,144.03,61.89,82.14
455,1,8.643,1.619,145.019,63.29,81.72900000000001
456,1,8.642,1.617,146.162,64.04,82.122
457,1,8.645,1.615,144.029,62.81,81.219
458,1,8.652,1.62,146.035,61.49,84.54499999999999
459,1,8.647,1.617,144.03,61.09,82.94
460,1,8.659,1.619,245.023,139.13,105.893
461,1,8.642,1.621,296.017,209.51,86.507
462,1,8.647,1.615,294.031,210.38,83.65100000000001
463,1,8.647,1.619,346.024,210.84,135.184
464,1,8.644,1.616,294.163,159.31,134.853
465,1,8.644,1.624,146.029,41.65,104.37899999999999
466,1,70.636,1.625,195.026,38.31,156.716
467,1,8.639,1.615,146.017,35.46,110.55699999999999
468,1,8.642,1.628,143.159,36.72,106.439
469,1,8.648,1.622,146.025,35.77,110.255
470,1,8.651,1.624,145.03,36.38,108.65
471,1,8.659,1.619,145.029,36.74,108.28899999999999
472,1,8.681,1.62,145.031,36.91,108.12100000000001
473,1,8.654,1.614,145.027,34.25,110.77699999999999
474,1,8.644,1.623,145.026,36.76,108.26600000000002
475,1,8.644,1.616,145.019,39.63,105.38900000000001
476,1,8.643,1.621,145.162,39.38,105.78200000000001
477,1,8.648,1.62,145.026,37.03,107.99600000000001
478,1,8.652,1.624,145.035,35.48,109.555
479,1,8.647,1.621,145.029,34.02,111.00899999999999
480,1,8.688,1.62,145.026,36.09,108.936
481,1,8.643,1.621,145.019,36.23,108.78900000000002
482,1,8.646,1.616,145.032,36.7,108.33200000000001
483,1,8.647,1.619,145.024,35.74,109.28399999999999
484,1,8.644,1.616,145.162,35.6,109.56200000000001
485,1,8.645,1.613,145.03,37.97,107.06
486,1,70.625,1.619,195.024,39.12,155.904
487,1,8.644,1.616,145.017,36.08,108.937
488,1,8.647,1.62,195.159,34.16,160.999
489,1,8.648,1.614,145.025,36.05,108.97500000000001
490,1,8.651,1.613,145.031,37.05,107.98100000000001
491,1,8.646,1.622,145.029,34.78,110.249
492,1,8.681,1.616,145.036,36.68,108.356
493,1,8.653,1.611,145.026,39.19,105.83600000000001
494,1,8.643,1.624,145.026,38.7,106.32600000000001
495,1,8.643,1.621,145.019,36.52,108.499
496,1,8.643,1.616,145.162,35.31,109.852
497,1,8.645,1.613,445.026,341.36,103.666
498,1,8.652,1.618,145.035,40.32,104.715
499,1,8.647,1.613,145.03,34.0,111.03
500,1,8.659,1.619,145.022,34.43,110.59199999999998
501,1,8.648,1.614,145.015,34.32,110.695
502,1,8.646,1.618,145.031,34.7,110.331
